(epoch: 1, iters: 100, time: 0.287, data: 0.370) D_A: 0.511 G_A: 1.370 cycle_A: 0.748 idt_A: 0.000 D_B: 0.258 G_B: 0.111 cycle_B: 5.562 idt_B: 0.000 
(epoch: 1, iters: 200, time: 0.283, data: 0.001) D_A: 0.332 G_A: 1.421 cycle_A: 1.262 idt_A: 0.000 D_B: 0.275 G_B: 0.316 cycle_B: 4.108 idt_B: 0.000 
(epoch: 1, iters: 300, time: 0.286, data: 0.000) D_A: 0.303 G_A: 1.078 cycle_A: 1.230 idt_A: 0.000 D_B: 0.096 G_B: 0.344 cycle_B: 4.464 idt_B: 0.000 
================ Training Loss (Fri Nov 13 01:36:06 2020) ================
(epoch: 1, iters: 100, time: 0.288, data: 0.155) D_A: 0.573 G_A: 0.293 cycle_A: 1.897 idt_A: 0.000 D_B: 0.388 G_B: 0.318 cycle_B: 6.121 idt_B: 0.000 
(epoch: 1, iters: 200, time: 0.288, data: 0.001) D_A: 0.346 G_A: 0.125 cycle_A: 1.060 idt_A: 0.000 D_B: 0.534 G_B: 0.159 cycle_B: 5.987 idt_B: 0.000 
(epoch: 1, iters: 300, time: 0.294, data: 0.001) D_A: 0.063 G_A: 0.610 cycle_A: 0.677 idt_A: 0.000 D_B: 0.206 G_B: 0.432 cycle_B: 4.019 idt_B: 0.000 
(epoch: 1, iters: 400, time: 0.610, data: 0.003) D_A: 0.062 G_A: 1.152 cycle_A: 2.025 idt_A: 0.000 D_B: 0.212 G_B: 0.207 cycle_B: 4.445 idt_B: 0.000 
(epoch: 1, iters: 500, time: 0.294, data: 0.002) D_A: 0.371 G_A: 1.546 cycle_A: 1.377 idt_A: 0.000 D_B: 0.198 G_B: 0.325 cycle_B: 4.841 idt_B: 0.000 
(epoch: 1, iters: 600, time: 0.298, data: 0.001) D_A: 0.286 G_A: 0.435 cycle_A: 1.099 idt_A: 0.000 D_B: 0.320 G_B: 0.379 cycle_B: 3.710 idt_B: 0.000 
(epoch: 1, iters: 700, time: 0.300, data: 0.002) D_A: 0.132 G_A: 1.049 cycle_A: 0.818 idt_A: 0.000 D_B: 0.211 G_B: 0.448 cycle_B: 3.824 idt_B: 0.000 
(epoch: 1, iters: 800, time: 0.307, data: 0.002) D_A: 0.011 G_A: 1.013 cycle_A: 1.108 idt_A: 0.000 D_B: 0.204 G_B: 0.359 cycle_B: 4.340 idt_B: 0.000 
(epoch: 1, iters: 900, time: 0.300, data: 0.000) D_A: 0.028 G_A: 0.964 cycle_A: 1.463 idt_A: 0.000 D_B: 0.165 G_B: 0.376 cycle_B: 4.436 idt_B: 0.000 
(epoch: 1, iters: 1000, time: 0.303, data: 0.001) D_A: 0.019 G_A: 0.995 cycle_A: 0.813 idt_A: 0.000 D_B: 0.225 G_B: 0.585 cycle_B: 5.786 idt_B: 0.000 
(epoch: 1, iters: 1100, time: 0.302, data: 0.002) D_A: 0.041 G_A: 1.224 cycle_A: 0.967 idt_A: 0.000 D_B: 0.327 G_B: 0.086 cycle_B: 2.481 idt_B: 0.000 
(epoch: 1, iters: 1200, time: 0.307, data: 0.001) D_A: 0.007 G_A: 0.985 cycle_A: 1.260 idt_A: 0.000 D_B: 0.052 G_B: 1.212 cycle_B: 4.721 idt_B: 0.000 
